Model:  CaptchaRecongnise CNN
Constructure:
        In      ->  Xception    ->  GlobAvgPool2D   ->  LogistReg   -> Out
    (224 224 3)                                                       (3500)
Log:
    __________________________________________________________________________________
    GID     Epochs      Train_Loss  Train_Acc   Test_Loss   Test_Acc    Finetune_Level
    1       1           6.868       0.01444     6.61        0.2079      0
    1       2           6.4867      0.0265      6.3795      0.0303      0
    1       3           6.2739      0.0364      6.2647      0.0364      0
    1       4           6.1255      0.0450      6.1257      0.0452      0
    1       5           6.0355      0.0509      6.0906      0.0478      0
    1       6           0.7101      0.8061      0.3644      0.8957      1
    1       7           0.3072      0.9099      0.2534      0.9246      1
    1       8           0.1899      0.9423      0.2039      0.9408      1
    1       9           0.1319      0.9585      0.1920      0.9443      1
    1       10          0.1076      0.9633      0.0935      0.9703      2
